ID,Label,tweet_length,num_urls,num_qmarks
553543395717550080,comment,83,0,0
553487414409564160,deny,135,0,0
553487881113989120,support,139,0,0
553487150550089728,comment,126,0,0
553486598328041472,comment,140,1,0
553486812787007488,comment,54,0,0
553487052776693761,comment,134,0,0
553486913970397186,comment,78,0,1
552988724288827395,support,134,1,0
552982992248123393,comment,87,1,0
553199352060325888,support,81,0,0
552785877748158464,support,38,0,1
552788073340489728,comment,113,1,0
552785851655393281,support,26,0,0
553567997835882496,comment,133,0,0
553549946725875712,support,117,0,0
553555102423089152,support,139,0,0
553551171802382336,comment,134,0,0
553581318630821888,comment,120,0,0
553574442014875648,comment,70,0,0
553584470264410113,comment,45,0,0
553550346195574784,comment,32,0,0
553552662088937472,comment,136,0,0
553555141731700737,comment,144,0,0
553574968563625985,support,132,0,1
553550482925715458,comment,115,0,0
553555095317929985,comment,89,0,0
553551156081745920,comment,133,0,0
553552734935601152,comment,82,0,0
553550998497918976,comment,57,0,0
553551562732470272,comment,126,0,0
553550000584540160,comment,109,1,0
553573995858382849,comment,125,1,0
553574899302670337,comment,107,0,0
553575543757471744,comment,91,0,0
552810800164139008,comment,73,0,0
552819464711184384,deny,25,0,0
552825292184514561,deny,139,0,0
552808047643729920,support,137,2,0
552807298192510977,support,136,1,0
552812110678196224,comment,77,1,0
552905510039465985,support,138,0,3
552808137737383936,support,117,0,0
552807311191048193,support,54,0,0
552823438457311232,deny,138,0,0
552812322075729920,deny,140,0,0
552810796884189184,deny,99,0,0
553545546947104768,support,73,0,0
553544568130768897,support,24,0,0
553557332261490688,support,130,1,1
554305263046754305,comment,72,0,0
553550704888279041,comment,124,0,1
553544746430652416,comment,52,0,0
553560398365212672,comment,137,1,0
553555098157060097,comment,136,0,0
553549302187192320,support,36,1,0
553550518531141632,deny,19,0,0
553544735131201536,support,112,1,0
553545985624784896,support,139,1,0
553545099905601536,support,100,1,0
553546195772407808,support,122,1,0
553023430443167746,deny,107,0,0
553011245737992193,comment,123,0,0
552996575396765696,comment,125,0,0
553004470440058881,comment,43,0,0
553042679412436992,comment,69,0,0
553009820409024512,support,59,0,0
553010394327834625,comment,138,0,0
